City Name,City ID,country,Temperature,Humidity,Cloudiness,Wind Speed,Lat,Lng,Date
hobart,2163355,AU,64.15,48,20,12.66,-42.8794,147.3294,1620274761
ulaangom,1515029,MN,51.49,31,100,5.75,49.9811,92.0667,1620274796
yar-sale,1486321,RU,31.87,96,100,30.36,66.8333,70.8333,1620274797
kuandian,2036283,CN,66.02,47,77,17.52,40.7286,124.7847,1620274797
ushuaia,3833367,AR,41.0,87,20,23.02,-54.8,-68.3,1620274539
hasaki,2112802,JP,71.83,40,75,13.8,35.7333,140.8333,1620274798
rincon,4218882,US,70.77,78,40,6.91,32.296,-81.2354,1620274798
launceston,2160517,AU,62.19,55,90,8.05,-41.45,147.1667,1620274799
oksovskiy,515966,RU,33.75,71,42,1.86,62.6062,39.8984,1620274799
marawi,1701054,PH,86.0,77,77,7.0,7.9986,124.2928,1620274799
kodiak,5866583,US,42.8,70,40,5.75,57.79,-152.4072,1620274800
fairbanks,5861897,US,52.52,58,75,6.91,64.8378,-147.7164,1620274650
puerto ayora,3652764,EC,75.0,92,2,4.0,-0.7393,-90.3518,1620274800
bluff,2206939,NZ,54.0,93,81,5.01,-46.6,168.3333,1620274801
ulladulla,2145554,AU,62.78,100,90,10.36,-35.35,150.4667,1620274801
zhezkazgan,1516589,KZ,69.17,30,100,7.76,47.8043,67.7144,1620274802
busselton,2075265,AU,64.06,86,27,1.01,-33.65,115.3333,1620274802
den helder,2757220,NL,39.7,87,75,1.14,52.9599,4.7593,1620274790
severo-kurilsk,2121385,RU,36.48,86,100,12.64,50.6789,156.125,1620274803
san cristobal,3628473,VE,67.06,97,100,1.01,7.7669,-72.225,1620274803
miraflores,3761194,MX,57.09,88,90,8.05,19.2167,-98.8083,1620274803
provideniya,4031574,RU,32.0,64,0,8.95,64.3833,-173.3,1620274804
avarua,4035715,CK,75.2,83,90,6.91,-21.2078,-159.775,1620274804
morant bay,3489440,JM,75.76,74,20,6.91,17.8815,-76.4093,1620274805
beringovskiy,2126710,RU,29.77,83,100,5.79,63.05,179.3167,1620274805
raudeberg,3146487,NO,43.0,83,89,5.37,61.9875,5.1352,1620274805
kruisfontein,986717,ZA,64.99,90,63,8.01,-34.0033,24.7314,1620274806
narsaq,3421719,GL,41.0,33,20,5.75,60.9167,-46.05,1620274806
ancud,3899695,CL,37.17,100,90,4.61,-41.8697,-73.8203,1620274807
quelimane,1028434,MZ,64.18,94,0,2.3,-17.8786,36.8883,1620274807
atuona,4020109,PF,80.74,79,26,21.07,-9.8,-139.0333,1620274807
novyy urengoy,1496511,RU,32.09,96,100,26.08,66.0833,76.6333,1620274808
albany,5106841,US,48.78,78,100,8.01,42.6001,-73.9662,1620274808
thompson,6165406,CA,30.2,64,20,5.75,55.7435,-97.8558,1620274808
wasilla,5877641,US,46.92,57,90,4.61,61.5814,-149.4394,1620274809
vaini,4032243,TO,73.4,100,90,11.5,-21.2,-175.2,1620274809
huntsville,4068590,US,53.31,87,1,4.61,34.7304,-86.5861,1620274804
faya,110690,SA,65.3,34,0,3.58,18.3851,42.4509,1620274810
georgetown,1735106,MY,86.38,70,20,2.15,5.4112,100.3354,1620274810
khatanga,2022572,RU,33.76,94,91,8.81,71.9667,102.5,1620274811
torbay,6167817,CA,38.53,81,90,10.36,47.6666,-52.7314,1620274811
rusne,595087,LT,43.09,87,75,20.13,55.2964,21.3758,1620274812
naze,1855540,JP,69.8,73,75,9.22,28.3667,129.4833,1620274812
constitucion,3893726,CL,56.16,71,0,4.81,-35.3333,-72.4167,1620274556
cape town,3369157,ZA,57.29,88,75,20.71,-33.9258,18.4232,1620274717
chamba,1274848,IN,80.17,38,4,3.98,32.5667,76.1333,1620274813
saint-philippe,935215,RE,72.59,88,75,5.75,-21.3585,55.7679,1620274813
cidreira,3466165,BR,59.18,92,100,9.15,-30.1811,-50.2056,1620274813
port lincoln,2063036,AU,70.59,40,85,14.81,-34.7333,135.8667,1620274814
uige,2236568,AO,66.02,98,100,0.92,-7.6087,15.0613,1620274814
portland,5746545,US,73.02,25,75,11.5,45.5234,-122.6762,1620274744
darlington,2651513,GB,30.25,78,33,4.36,54.5243,-1.5504,1620274815
claresholm,5923125,CA,46.76,53,100,8.05,50.0333,-113.5852,1620274815
jiayuguan,1280957,CN,64.92,8,9,4.99,39.8167,98.3,1620274816
hithadhoo,1282256,MV,84.16,64,100,3.98,-0.6,73.0833,1620274816
guozhen,1809263,CN,81.32,31,79,4.14,34.3659,107.359,1620274817
cabo san lucas,3985710,MX,69.37,21,1,14.72,22.8909,-109.9124,1620274776
trinidad,3902377,BO,67.82,90,60,6.17,-14.8333,-64.9,1620274817
new norfolk,2155415,AU,62.46,65,10,1.01,-42.7826,147.0587,1620274818
gojra,1178231,PK,92.93,23,98,4.85,31.1487,72.6866,1620274818
matadi,2313002,CD,74.1,97,100,1.57,-5.8167,13.45,1620274818
mahebourg,934322,MU,75.2,94,40,5.35,-20.4081,57.7,1620274819
bambous virieux,1106677,MU,78.39,94,40,5.57,-20.3428,57.7575,1620274819
vila,7117100,PT,46.0,93,97,2.73,42.0304,-8.1588,1620274820
wattegama,1224061,LK,87.8,84,20,2.3,6.7989,81.4808,1620274820
itarema,3393692,BR,73.38,88,37,4.56,-2.9248,-39.9167,1620274820
kapaa,5848280,US,74.07,83,75,14.97,22.0752,-159.319,1620274821
point fortin,3573899,TT,74.66,94,100,3.0,10.1833,-61.6833,1620274640
saskylakh,2017155,RU,31.89,94,100,7.81,71.9167,114.0833,1620274821
salinopolis,3389822,BR,76.44,84,95,2.13,-0.6136,-47.3561,1620274822
tuatapere,2180815,NZ,54.0,93,76,3.0,-46.1333,167.6833,1620274822
gigmoto,1712961,PH,84.54,78,97,11.95,13.7796,124.39,1620274822
meadow lake,5478673,US,64.67,11,1,10.36,34.8014,-106.5436,1620274823
ugoofaaru,1337619,MV,83.44,71,97,4.41,5.6667,73.0,1620274823
hare bay,5970873,CA,37.26,87,65,3.44,48.8499,-54.0148,1620274824
dunedin,2191562,NZ,55.99,85,53,8.01,-45.8742,170.5036,1620274824
castro,3466704,BR,60.31,60,65,4.43,-24.7911,-50.0119,1620274824
pisco,3932145,PE,64.65,88,83,10.36,-13.7,-76.2167,1620274825
yellowknife,6185377,CA,41.0,45,20,3.44,62.456,-114.3525,1620274825
chemal,1508285,RU,67.23,43,100,5.84,51.4111,86.005,1620274826
katsuura,2112309,JP,68.47,68,75,10.36,35.1333,140.3,1620274643
kaeo,2189343,NZ,66.0,70,11,5.01,-35.1,173.7833,1620274826
illela,2337680,NG,83.57,23,55,2.98,13.7292,5.2975,1620274827
ust-kulom,478050,RU,36.59,78,96,12.01,61.6864,53.6902,1620274827
ponta do sol,2264557,PT,54.54,63,8,1.01,32.6667,-17.1,1620274827
pevek,2122090,RU,33.39,75,97,4.68,69.7008,170.3133,1620274828
tyret pervaya,2014705,RU,38.57,65,100,10.67,53.6703,102.3106,1620274828
luderitz,3355672,NA,56.05,82,6,13.73,-26.6481,15.1594,1620274828
marsaxlokk,2562247,MT,62.35,88,20,10.36,35.8419,14.5431,1620274829
guerrero negro,4021858,MX,62.49,84,5,9.53,27.9769,-114.0611,1620274679
nanortalik,3421765,GL,35.82,76,4,3.69,60.1432,-45.2371,1620274829
borba,3405051,BR,72.3,98,73,1.57,-4.3878,-59.5939,1620274830
carnarvon,2074865,AU,75.2,57,90,3.44,-24.8667,113.6333,1620274830
santa cruz,3904906,BO,59.0,67,75,20.71,-17.8,-63.1667,1620274831
tuktoyaktuk,6170031,CA,23.0,86,90,6.91,69.4541,-133.0374,1620274831
saint george,5546220,US,77.32,9,1,16.11,37.1041,-113.5841,1620274685
sinnamary,3380290,GF,76.91,86,100,5.26,5.3833,-52.95,1620274832
kemijarvi,653272,FI,29.5,82,100,5.37,66.7131,27.4306,1620274832
arlit,2447513,NE,82.76,6,100,10.22,18.7369,7.3853,1620274833
iqaluit,5983720,CA,32.0,86,90,4.61,63.7506,-68.5145,1620274833
hofn,2630299,IS,33.62,60,44,15.59,64.2539,-15.2082,1620274833
acapulco,3533462,MX,79.56,59,15,2.91,16.8634,-99.8901,1620274834
beloha,1067565,MG,64.89,91,11,2.64,-25.1667,45.05,1620274834
baruun-urt,2032614,MN,51.39,32,100,26.31,46.6806,113.2792,1620274834
srednekolymsk,2121025,RU,31.03,79,53,2.93,67.45,153.6833,1620274835
kuytun,2021093,RU,35.94,95,100,9.37,54.3419,101.5036,1620274835
fortuna,5563839,US,51.13,100,90,4.61,40.5982,-124.1573,1620274836
airai,1651810,TL,70.93,68,71,3.87,-8.9266,125.4092,1620274836
honningsvag,779554,NO,33.8,80,75,7.74,70.9821,25.9704,1620274837
anadyr,2127202,RU,30.09,69,0,2.24,64.75,177.4833,1620274837
bambanglipuro,1650434,ID,86.36,66,100,10.2,-7.95,110.2833,1620274838
north platte,5697939,US,49.62,71,40,5.75,41.1239,-100.7654,1620274553
tasiilaq,3424607,GL,28.4,74,90,1.14,65.6145,-37.6368,1620274838
mount isa,2065594,AU,80.6,12,97,10.36,-20.7333,139.5,1620274839
grafton,4938048,US,49.28,93,100,9.04,42.207,-71.6856,1620274839
ust-kan,1488190,RU,60.33,44,100,4.63,50.9276,84.761,1620274839
saveh,116667,IR,71.35,40,9,5.44,35.0213,50.3566,1620274840
botwood,5906229,CA,36.0,89,84,7.87,49.1499,-55.3482,1620274840
san carlos,3628503,VE,73.83,92,99,3.18,9.6612,-68.5827,1620274841
west des moines,4881346,US,56.37,44,90,6.91,41.572,-93.7453,1620274841
tiznit,2527087,MA,59.68,81,0,1.3,29.5833,-9.5,1620274841
bethel,5282297,US,49.32,76,1,5.75,41.3712,-73.414,1620274842
carutapera,3402648,BR,73.15,94,100,2.55,-1.195,-46.02,1620274842
ayan,2027316,RU,32.13,82,100,25.48,56.45,138.1667,1620274842
liseleje,2617538,DK,42.33,100,100,4.0,56.0053,11.9483,1620274843
esperance,2071860,AU,73.4,60,75,11.5,-33.8667,121.9,1620274843
mbini,2308278,GQ,77.0,100,40,6.69,1.574,9.6134,1620274844
port-gentil,2396518,GA,78.96,83,100,9.84,-0.7193,8.7815,1620274844
tual,1623197,ID,83.79,74,100,21.03,-5.6667,132.75,1620274844
victoria,1819729,HK,78.03,58,20,13.8,22.2855,114.1577,1620274655
pfullendorf,2853930,DE,41.0,87,100,4.76,47.9167,9.25,1620274845
cayenne,3382160,GF,75.51,100,20,1.14,4.9333,-52.3333,1620274845
santa fe,3836277,AR,51.94,80,72,1.01,-31.6333,-60.7,1620274811
port alfred,964432,ZA,65.16,72,5,4.52,-33.5906,26.891,1620274846
port elizabeth,964420,ZA,64.4,88,40,12.66,-33.918,25.5701,1620274846
darab,137956,IR,73.71,34,0,1.66,28.7519,54.5444,1620274846
qui nhon,1568574,VN,83.64,73,100,8.7,13.7667,109.2333,1620274847
san patricio,4726521,US,69.57,88,1,4.61,28.017,-97.5169,1620274847
maragogi,3395458,BR,75.29,84,31,5.97,-9.0122,-35.2225,1620274848
sitka,5557293,US,51.8,54,90,10.36,57.0531,-135.33,1620274848
te anau,2181625,NZ,55.04,73,13,0.87,-45.4167,167.7167,1620274848
florianopolis,6323121,BR,68.81,94,75,9.22,-27.6146,-48.5012,1620274849
ko samui,1154689,TH,82.4,89,20,5.75,9.5357,99.9357,1620274849
jamestown,5122534,US,42.3,81,90,11.5,42.097,-79.2353,1620274850
hermanus,3366880,ZA,60.01,91,100,5.01,-34.4187,19.2345,1620274850
bull savanna,3491161,JM,74.53,86,5,7.94,17.8868,-77.5902,1620274850
bose,6457397,IT,48.02,59,43,1.99,45.4612,8.0137,1620274851
vostok,2013279,RU,47.39,77,96,12.66,46.4856,135.8833,1620274851
atocha,3923570,BO,44.53,31,88,5.77,-20.9333,-66.2333,1620274852
mitrofanovka,526083,RU,49.26,65,100,8.12,49.9708,39.6939,1620274852
lake havasu city,5301388,US,84.9,10,1,4.61,34.4839,-114.3224,1620274608
atbasar,1526038,KZ,60.33,52,100,16.11,51.8,68.3333,1620274853
flin flon,5954718,CA,28.58,86,7,5.55,54.7682,-101.865,1620274853
mar del plata,3430863,AR,47.82,87,40,5.75,-38.0023,-57.5575,1620274753
coquimbo,3893629,CL,59.0,67,0,11.5,-29.9533,-71.3436,1620274854
baykit,1510689,RU,39.18,58,84,4.52,61.67,96.37,1620274854
aguadilla,4562506,PR,72.46,93,11,1.01,18.4275,-67.1541,1620274854
latung,1707108,PH,84.15,68,100,0.2,5.5,120.8833,1620274855
astoria,5711847,US,54.5,71,1,4.85,46.1879,-123.8313,1620274855
nortelandia,3456248,BR,67.48,57,32,3.38,-14.4547,-56.8028,1620274855
mazyr,625324,BY,49.82,93,100,14.88,52.0495,29.2456,1620274856
palmer,4946620,US,49.64,93,90,5.75,42.1584,-72.3287,1620274856
lorengau,2092164,PG,85.3,70,99,3.91,-2.0226,147.2712,1620274857
kattivakkam,1267433,IN,91.2,58,40,4.61,13.2167,80.3167,1620274857
bathurst,2176632,AU,60.35,90,99,11.48,-33.4166,149.5806,1620274858
nikolskoye,546105,RU,41.02,93,90,8.95,59.7035,30.7861,1620274858
mandalgovi,2030065,MN,38.03,26,16,30.42,45.7625,106.2708,1620274858
hami,1529484,CN,79.92,7,50,14.32,42.8,93.45,1620274753
eldorado,3464343,BR,67.05,89,95,10.8,-23.7869,-54.2836,1620274859
okha,2122614,RU,31.39,98,100,20.45,53.5739,142.9478,1620274859
pangnirtung,6096551,CA,23.07,87,37,7.14,66.1451,-65.7125,1620274860
champerico,3598787,GT,65.46,98,99,3.38,14.3,-91.9167,1620274860
lagoa,3372964,PT,61.38,92,16,17.98,39.05,-27.9833,1620274860
jacareacanga,3397763,BR,71.58,98,70,1.28,-6.2222,-57.7528,1620274861
tacoronte,2510725,ES,60.08,82,90,16.11,28.4769,-16.4102,1620274861
kachiry,1523662,KZ,68.92,37,100,13.22,53.0675,76.1036,1620274862
grand gaube,934479,MU,82.0,84,50,1.99,-20.0064,57.6608,1620274862
benguela,3351663,AO,77.07,88,99,3.58,-12.5763,13.4055,1620274862
mongu,906054,ZM,61.57,59,8,7.54,-15.2484,23.1274,1620274863
katherine,2068655,AU,89.6,31,0,14.97,-14.4667,132.2667,1620274863
omboue,2396853,GA,75.88,91,100,4.38,-1.5746,9.2618,1620274864
dalnegorsk,2051471,RU,66.99,27,3,15.21,44.5604,135.5701,1620274864
mandera,187896,KE,80.17,69,100,16.24,3.9366,41.867,1620274864
rocha,3440777,UY,47.17,75,26,7.05,-34.4833,-54.3333,1620274865
lavrentiya,4031637,RU,27.59,77,2,5.19,65.5833,-171.0,1620274865
tamiahua,3516376,MX,76.19,93,27,7.2,21.2667,-97.45,1620274865
kaduna,2335727,NG,75.6,68,86,8.25,10.5222,7.4383,1620274866
manono,209598,CD,66.97,84,69,3.44,-7.3,27.4167,1620274866
najran,103630,SA,73.4,23,0,2.01,17.4924,44.1277,1620274867
bengkulu,1649150,ID,79.38,83,97,2.28,-3.8004,102.2655,1620274867
tupelo,4448903,US,56.52,72,1,6.91,34.2576,-88.7034,1620274817
hilo,5855927,US,69.64,73,90,7.76,19.7297,-155.09,1620274406
nizhniy tsasuchey,2019118,RU,56.39,29,28,13.65,50.5167,115.1333,1620274868
linxia,1803331,CN,64.35,19,23,5.99,35.6003,103.2064,1620274868
campo grande,3467747,BR,64.4,100,0,4.61,-20.4428,-54.6464,1620274869
bartica,3379507,GY,77.0,94,75,4.61,6.4,-58.6167,1620274869
havoysund,779622,NO,32.04,80,75,8.03,70.9963,24.6622,1620274869
port augusta,2063056,AU,71.42,25,72,14.97,-32.5,137.7667,1620274870
gamba,2400547,GA,75.49,92,100,4.05,-2.65,10.0,1620274870
saint-joseph,6690296,RE,72.61,88,75,5.75,-21.3667,55.6167,1620274870
quang ngai,1568770,VN,91.02,53,100,8.7,15.1167,108.8,1620274749
cherskiy,2126199,RU,31.32,93,77,1.83,68.75,161.3,1620274871
souillac,933995,MU,75.2,94,40,3.29,-20.5167,57.5167,1620274871
tiarei,4033356,PF,84.09,70,75,5.75,-17.5333,-149.3333,1620274872
rovaniemi,638936,FI,28.4,74,0,5.75,66.5,25.7167,1620274872
tessaoua,2438823,NE,80.19,22,58,5.23,13.7574,7.9874,1620274873
escada,3400804,BR,73.4,88,75,3.44,-8.3592,-35.2236,1620274873
stralsund,2826287,DE,41.0,81,100,3.0,54.3091,13.0818,1620274873
caruray,1718234,PH,93.2,66,20,18.41,10.3094,119.0128,1620274874
san andres,3670218,CO,82.4,74,40,6.91,12.5847,-81.7006,1620274874
santo tomas,1687534,PH,93.15,46,40,10.36,14.1079,121.1414,1620274875
kuliyapitiya,1238427,LK,86.0,70,20,5.75,7.4688,80.0401,1620274875
liepaja,457955,LV,42.8,93,90,11.5,56.5419,21.0367,1620274875
comodoro rivadavia,3860443,AR,53.6,82,0,10.36,-45.8667,-67.5,1620274872
lykhivka,703079,UA,50.34,66,100,12.66,48.6874,33.9228,1620274876
ponte de sor,2264538,PT,54.34,84,24,1.01,39.2496,-8.0101,1620274877
general roca,3855065,AR,39.2,93,0,4.18,-39.0333,-67.5833,1620274877
banda aceh,1215502,ID,83.37,69,100,3.29,5.5577,95.3222,1620274877
mendi,2090990,PG,66.09,86,67,3.71,-6.1761,143.6513,1620274878
ambalavao,1083968,MG,54.79,65,0,0.83,-21.8333,46.9333,1620274878
kapit,1737185,MY,83.17,72,100,2.15,2.0167,112.9333,1620274878
nakhon sawan,1608526,TH,93.0,49,98,4.74,15.7,100.0833,1620274879
faanui,4034551,PF,82.83,75,22,13.47,-16.4833,-151.75,1620274879
rusape,882100,ZW,48.24,74,1,2.04,-18.5278,32.1284,1620274880
hervey bay,2146219,AU,75.94,43,1,13.8,-25.2986,152.8535,1620274880
hambantota,1244926,LK,87.8,84,20,2.3,6.1241,81.1185,1620274880
cabedelo,3404558,BR,73.4,100,75,5.75,-6.9811,-34.8339,1620274881
sambava,1056899,MG,76.08,86,12,3.51,-14.2667,50.1667,1620274881
klaksvik,2618795,FO,35.6,80,75,26.46,62.2266,-6.589,1620274882
leningradskiy,2123814,RU,30.58,81,100,7.16,69.3833,178.4167,1620274882
muros,3115824,ES,58.5,86,100,7.74,42.7762,-9.0603,1620274882
prince rupert,6113406,CA,55.98,50,90,4.61,54.3161,-130.3201,1620274883
byron bay,2172880,AU,68.5,68,75,10.36,-28.65,153.6167,1620274883
college,5859699,US,53.67,47,75,6.91,64.8569,-147.8028,1620274850
contratacion,3685961,CO,58.73,97,100,3.53,6.2901,-73.4735,1620274884
waipawa,2206874,NZ,56.62,88,90,19.57,-41.4122,175.5153,1620274884
tiksi,2015306,RU,25.84,91,100,13.04,71.6872,128.8694,1620274885
kudahuvadhoo,1337607,MV,84.45,68,100,5.86,2.6708,72.8944,1620274885
vila franca do campo,3372472,PT,62.6,94,75,2.3,37.7167,-25.4333,1620274885
labytnangi,1500933,RU,31.64,97,100,26.49,66.6572,66.4183,1620274886
tabora,149658,TZ,62.6,94,20,3.67,-5.0167,32.8,1620274886
concepcion del oro,4013039,MX,61.9,63,36,10.74,24.6333,-101.4167,1620274887
lazaro cardenas,4026082,MX,75.85,72,1,4.12,17.9583,-102.2,1620274887
pontes e lacerda,3453060,BR,68.54,95,41,1.07,-15.2261,-59.3353,1620274887
arraial do cabo,3471451,BR,72.72,85,0,5.39,-22.9661,-42.0278,1620274888
qaanaaq,3831208,GL,26.02,86,100,2.26,77.484,-69.3632,1620274888
mamallapuram,1263997,IN,91.2,58,40,4.61,12.6264,80.1722,1620274889
shar,1519275,KZ,74.5,26,96,14.65,49.5886,81.0453,1620274889
tura,1254046,IN,86.54,46,58,1.57,25.5198,90.2201,1620274889
polyarnyy,506763,RU,32.0,80,40,2.98,69.1989,33.4478,1620274890
ilulissat,3423146,GL,28.4,80,75,3.69,69.2167,-51.1,1620274890
chuy,3443061,UY,50.52,65,75,7.83,-33.6971,-53.4616,1620274891
westport,4845585,US,50.79,76,1,6.91,41.1415,-73.3579,1620274891
svetlaya,2015852,RU,51.19,76,66,10.49,46.5389,138.3297,1620274891
kamina,214614,CD,61.21,88,88,1.92,-8.7386,24.9906,1620274892
la ronge,6050066,CA,40.1,42,2,4.61,55.1001,-105.2842,1620274892
vao,2137773,NC,74.84,79,21,10.09,-22.6667,167.4833,1620274893
yenagoa,2318123,NG,75.87,94,100,4.27,4.9247,6.2642,1620274758
coihaique,3894426,CL,32.0,100,100,2.3,-45.5752,-72.0662,1620274893
geraldton,2070998,AU,75.2,60,90,12.66,-28.7667,114.6,1620274894
avondale,5552301,US,84.09,13,20,4.61,33.4356,-112.3496,1620274894
celestun,3531368,MX,78.75,81,87,5.64,20.8667,-90.4,1620274895
ha tinh,1581047,VN,82.31,79,100,4.97,18.3333,105.9,1620274895
tecoanapa,3516171,MX,80.47,67,37,3.42,16.5167,-98.75,1620274895
flinders,6255012,AU,68.14,93,100,4.0,-34.5833,150.8552,1620274896
sabha,2212775,LY,83.32,10,0,13.91,27.0377,14.4283,1620274896
beatrice,5063646,US,51.04,87,1,7.02,40.2681,-96.747,1620274897
warrnambool,2144528,AU,64.0,74,99,4.0,-38.3833,142.4833,1620274897
camocim,3403687,BR,74.32,90,51,5.88,-2.9022,-40.8411,1620274897
mumford,2297810,GH,79.48,85,86,9.13,5.2618,-0.759,1620274898
szydlowiec,757178,PL,40.68,83,6,16.06,51.2282,20.8611,1620274898
lata,2738381,PT,55.53,96,99,2.15,40.1629,-8.3327,1620274898
nizwa,286987,OM,82.96,46,22,4.63,22.9333,57.5333,1620274899
talaya,2120769,RU,34.14,89,100,1.66,61.3833,152.75,1620274899
singarayakonda,1256176,IN,91.24,53,54,14.72,15.25,80.0333,1620274900
buraydah,107304,SA,73.4,43,0,2.3,26.326,43.975,1620274900
sanmenxia,1796669,CN,83.73,21,99,18.61,34.7747,111.1814,1620274900
campoverde,3733380,PE,71.92,98,100,1.59,-8.4753,-74.8058,1620274901
buala,2109528,SB,86.52,65,33,4.97,-8.145,159.5921,1620274901
norman wells,6089245,CA,44.6,53,20,11.5,65.282,-126.8329,1620274902
goderich,5962442,CA,41.0,75,4,8.05,43.7501,-81.7165,1620274902
lincoln,5072006,US,49.17,87,1,3.44,40.8,-96.667,1620274902
laguna,5364271,US,71.62,43,1,10.36,38.421,-121.4238,1620274857
turinsk,1488933,RU,48.36,62,9,17.83,58.0458,63.696,1620274903
tigzirt,2476660,DZ,60.42,92,100,7.23,36.8886,4.1198,1620274903
los llanos de aridane,2514651,ES,59.38,55,90,10.36,28.6585,-17.9182,1620274885
velykoploske,690035,UA,51.8,82,0,6.91,47.0125,29.6717,1620274904
saint anthony,5044290,US,43.34,81,75,3.44,45.0205,-93.218,1620274904
pangoa,3933104,PE,67.87,98,100,2.26,-12.1167,-73.0,1620274905
akhty,583794,RU,47.86,89,53,1.16,41.4597,47.7312,1620274905
aktash,1511997,RU,51.76,28,100,2.51,50.3,87.7333,1620274905
san jose,5392171,US,58.05,77,20,9.22,37.3394,-121.895,1620274807
virginia beach,4791259,US,65.17,52,90,20.71,36.8529,-75.978,1620274608
bairiki,7601762,KI,87.8,70,40,12.66,1.3292,172.9752,1620274906
san javier,2511366,ES,61.66,94,75,4.61,37.8063,-0.8374,1620274907
abu kamal,174448,SY,76.03,30,31,12.1,34.4506,40.9171,1620274907
karratha,6620339,AU,83.32,58,99,7.63,-20.7377,116.8463,1620274908
huaral,3939285,PE,64.29,88,90,4.61,-11.495,-77.2078,1620274908
lalmohan,1185251,BD,88.2,55,95,8.5,22.3384,90.7419,1620274909
lebu,3883457,CL,53.4,78,3,4.43,-37.6167,-73.65,1620274909
codrington,2171099,AU,63.61,47,91,8.43,-38.2667,141.9667,1620274909
kuna,5597955,US,62.47,29,57,3.44,43.4918,-116.4201,1620274726
bathsheba,3374083,BB,78.8,65,40,17.27,13.2167,-59.5167,1620274910
san felipe,3628423,VE,72.19,95,100,3.4,10.3399,-68.7425,1620274910
mubi,2329821,NG,82.11,45,99,5.5,10.2676,13.2644,1620274911
yol,1252714,IN,84.18,31,2,7.29,32.1667,76.2,1620274911
evensk,2125693,RU,28.9,75,14,0.16,61.95,159.2333,1620274912
khorixas,3356213,NA,67.51,58,79,4.74,-20.3667,14.9667,1620274912
san isidro,3929631,PE,64.11,88,90,4.61,-12.1167,-77.05,1620274912
birjand,140463,IR,62.6,63,0,4.61,32.8663,59.2211,1620274913
bulawayo,894701,ZW,51.78,62,0,6.22,-20.15,28.5833,1620274913
haines junction,5969025,CA,44.6,39,100,4.61,60.7522,-137.5108,1620274914
monrovia,2274895,LR,79.66,84,99,9.31,6.3005,-10.7969,1620274723
kosonsoy,1513714,UZ,68.0,68,40,6.91,41.2561,71.5508,1620274914
bredasdorp,1015776,ZA,57.2,94,100,8.05,-34.5322,20.0403,1620274915
eydhafushi,1337606,MV,84.4,68,94,5.93,5.1033,73.0708,1620274915
tabuk,1684803,PH,93.24,42,47,7.43,17.4189,121.4443,1620274916
axim,2303611,GH,80.74,80,94,7.72,4.8699,-2.2405,1620274916
lebedinyy,2020871,RU,32.59,100,100,3.76,58.5167,125.5167,1620274916
khuzhir,2022143,RU,36.84,69,43,6.96,53.1939,107.3397,1620274917
menongue,3347353,AO,62.31,74,97,3.8,-14.6585,17.691,1620274917
ketchikan,5554428,US,53.6,58,90,6.91,55.3422,-131.6461,1620274918
mandan,5690366,US,44.29,70,90,3.44,46.8267,-100.8896,1620274918
kismayo,55671,SO,79.92,83,70,11.27,-0.3582,42.5454,1620274918
jucurutu,3397108,BR,74.66,87,60,1.21,-6.0339,-37.0203,1620274919
cockburn town,3576994,TC,78.78,78,5,18.97,21.4612,-71.1419,1620274621
manta,3654410,EC,75.2,88,90,6.91,-0.95,-80.7333,1620274627
